0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label,evi
"(0.0, 26.284229532877646, 0.024061838785807293, 18920436, 297.8032677968343)","(0.0002025150991926637, 26.849547958374046, 0.02393786112467448, 17086316, 298.70797030131024)","(3.355695977310802e-05, 26.740096664428734, 0.023951212565104168, 16300924, 299.86159642537433)","(4.881012513737346e-05, 27.108295059204124, 0.023921966552734375, 14616644, 299.62876001993817)","(0.00031562319099903105, 27.6765069325765, 0.024016698201497395, 17430056, 299.09556770324707)","(0.0, 26.901738739013695, 0.023900349934895832, 17761840, 298.94676272074383)","(3.355695977310802e-05, 26.837029393514, 0.023738861083984375, 16530992, 299.49876340230304)","(3.3839505705980956e-05, 27.381631469726585, 0.02365875244140625, 14327616, 299.77811368306476)","(1.7130473996206773e-05, 26.34528757731124, 0.023714065551757812, 16174088, 299.284215927124)","(0.00011803690003807787, 25.94729576110842, 0.023691177368164062, 15507468, 298.8100128173828)","(0.00019652343482666766, 24.81597480773928, 0.023775736490885418, 15565708, 298.2060070037842)","(5.045277550540846e-05, 24.797366078694665, 0.023958206176757812, 16736100, 296.0142358144124)","(2.909834603754895e-05, 21.95752360026046, 0.024053573608398438, 16864180, 294.098840713501)","(0.08645142132341863, 21.11694933573409, 0.0333245595296224, 12534956, 293.43550936381024)","(0.017673725375533106, 19.761936442057333, 0.051645914713541664, 15726520, 290.6244004567464)","(0.0, 19.33479461669924, 0.04215176900227865, 15916748, 290.8851782480876)","(3.379162782796286e-05, 20.124019877115927, 0.03470039367675781, 16348784, 291.74392636617023)","(1.7378791052877674e-05, 20.34810345967611, 0.02974255879720052, 16306624, 292.26005999247235)","(0.00010160951908874268, 20.09380938212081, 0.026678085327148438, 16149796, 293.3684933980306)","(5.115676820057615e-05, 19.97550481160482, 0.025262832641601562, 16515104, 292.89875984191895)","(0.00010114016227817047, 17.21526171366378, 0.024680455525716145, 15782776, 289.83949279785156)","(8.623904585286937e-05, 18.347077941894554, 0.024649302164713543, 15432384, 290.3720003763835)","(3.355695977310802e-05, 18.92087071736654, 0.024450937906901043, 15665728, 291.3475818634033)","(3.3674292261957816e-05, 18.603239313761435, 0.02435302734375, 15636268, 290.67321395874023)","(0.0, 18.770332590738974, 0.024109522501627605, 15704820, 291.3700256347656)",0,[0.1811]
"(3.3839505705980956e-05, 27.381631469726585, 0.02365875244140625, 14327616, 299.77811368306476)","(1.7130473996206773e-05, 26.34528757731124, 0.023714065551757812, 16174088, 299.284215927124)","(0.00011803690003807787, 25.94729576110842, 0.023691177368164062, 15507468, 298.8100128173828)","(0.00019652343482666766, 24.81597480773928, 0.023775736490885418, 15565708, 298.2060070037842)","(5.045277550540846e-05, 24.797366078694665, 0.023958206176757812, 16736100, 296.0142358144124)","(2.909834603754895e-05, 21.95752360026046, 0.024053573608398438, 16864180, 294.098840713501)","(0.08645142132341863, 21.11694933573409, 0.0333245595296224, 12534956, 293.43550936381024)","(0.017673725375533106, 19.761936442057333, 0.051645914713541664, 15726520, 290.6244004567464)","(0.0, 19.33479461669924, 0.04215176900227865, 15916748, 290.8851782480876)","(3.379162782796286e-05, 20.124019877115927, 0.03470039367675781, 16348784, 291.74392636617023)","(1.7378791052877674e-05, 20.34810345967611, 0.02974255879720052, 16306624, 292.26005999247235)","(0.00010160951908874268, 20.09380938212081, 0.026678085327148438, 16149796, 293.3684933980306)","(5.115676820057615e-05, 19.97550481160482, 0.025262832641601562, 16515104, 292.89875984191895)","(0.00010114016227817047, 17.21526171366378, 0.024680455525716145, 15782776, 289.83949279785156)","(8.623904585286937e-05, 18.347077941894554, 0.024649302164713543, 15432384, 290.3720003763835)","(3.355695977310802e-05, 18.92087071736654, 0.024450937906901043, 15665728, 291.3475818634033)","(3.3674292261957816e-05, 18.603239313761435, 0.02435302734375, 15636268, 290.67321395874023)","(0.0, 18.770332590738974, 0.024109522501627605, 15704820, 291.3700256347656)","(5.0853318173051324e-05, 19.148325220743857, 0.02388445536295573, 15529000, 292.29404640197754)","(0.00010158649525374131, 19.41447219848635, 0.023758570353190105, 11550324, 294.23310979207355)","(0.0, 18.011498387654626, 0.023818333943684895, 15270996, 291.7724374135335)","(0.0, 14.575505828857445, 0.023897171020507812, 15274068, 287.4534619649251)","(0.0, 17.15367724100753, 0.023820877075195312, 14920940, 290.0278835296631)","(0.0008752970278263092, 18.700739161173544, 0.023881912231445312, 10951804, 291.54321479797363)","(0.35383003858759104, 17.4485908508301, 0.0750261942545573, 8479988, 290.6762943267822)",0,"[0.1811, 0.17270000000000002]"
"(0.017673725375533106, 19.761936442057333, 0.051645914713541664, 15726520, 290.6244004567464)","(0.0, 19.33479461669924, 0.04215176900227865, 15916748, 290.8851782480876)","(3.379162782796286e-05, 20.124019877115927, 0.03470039367675781, 16348784, 291.74392636617023)","(1.7378791052877674e-05, 20.34810345967611, 0.02974255879720052, 16306624, 292.26005999247235)","(0.00010160951908874268, 20.09380938212081, 0.026678085327148438, 16149796, 293.3684933980306)","(5.115676820057615e-05, 19.97550481160482, 0.025262832641601562, 16515104, 292.89875984191895)","(0.00010114016227817047, 17.21526171366378, 0.024680455525716145, 15782776, 289.83949279785156)","(8.623904585286937e-05, 18.347077941894554, 0.024649302164713543, 15432384, 290.3720003763835)","(3.355695977310802e-05, 18.92087071736654, 0.024450937906901043, 15665728, 291.3475818634033)","(3.3674292261957816e-05, 18.603239313761435, 0.02435302734375, 15636268, 290.67321395874023)","(0.0, 18.770332590738974, 0.024109522501627605, 15704820, 291.3700256347656)","(5.0853318173051324e-05, 19.148325220743857, 0.02388445536295573, 15529000, 292.29404640197754)","(0.00010158649525374131, 19.41447219848635, 0.023758570353190105, 11550324, 294.23310979207355)","(0.0, 18.011498387654626, 0.023818333943684895, 15270996, 291.7724374135335)","(0.0, 14.575505828857445, 0.023897171020507812, 15274068, 287.4534619649251)","(0.0, 17.15367724100753, 0.023820877075195312, 14920940, 290.0278835296631)","(0.0008752970278263092, 18.700739161173544, 0.023881912231445312, 10951804, 291.54321479797363)","(0.35383003858759104, 17.4485908508301, 0.0750261942545573, 8479988, 290.6762943267822)","(0.0006587380942311029, 14.046037928263388, 0.1329498291015625, 14416548, 286.86486053466797)","(0.0, 12.23388252258303, 0.11560376485188802, 14779416, 286.0380001068115)","(6.720210522061621e-05, 12.629571533203148, 0.09748013814290364, 14615472, 287.3252544403076)","(0.0, 11.681146240234398, 0.07914543151855469, 12549328, 287.16295496622723)","(3.355695977310802e-05, 13.397789255778036, 0.0619500478108724, 10383084, 288.7460683186849)","(0.0012461836062322106, 15.12481587727865, 0.048980712890625, 13670988, 288.22576395670575)","(0.14769748515998257, 11.580960210164392, 0.0783093770345052, 12166404, 283.7912190755208)",0,[0.17270000000000002]
"(8.623904585286937e-05, 18.347077941894554, 0.024649302164713543, 15432384, 290.3720003763835)","(3.355695977310802e-05, 18.92087071736654, 0.024450937906901043, 15665728, 291.3475818634033)","(3.3674292261957816e-05, 18.603239313761435, 0.02435302734375, 15636268, 290.67321395874023)","(0.0, 18.770332590738974, 0.024109522501627605, 15704820, 291.3700256347656)","(5.0853318173051324e-05, 19.148325220743857, 0.02388445536295573, 15529000, 292.29404640197754)","(0.00010158649525374131, 19.41447219848635, 0.023758570353190105, 11550324, 294.23310979207355)","(0.0, 18.011498387654626, 0.023818333943684895, 15270996, 291.7724374135335)","(0.0, 14.575505828857445, 0.023897171020507812, 15274068, 287.4534619649251)","(0.0, 17.15367724100753, 0.023820877075195312, 14920940, 290.0278835296631)","(0.0008752970278263092, 18.700739161173544, 0.023881912231445312, 10951804, 291.54321479797363)","(0.35383003858759104, 17.4485908508301, 0.0750261942545573, 8479988, 290.6762943267822)","(0.0006587380942311029, 14.046037928263388, 0.1329498291015625, 14416548, 286.86486053466797)","(0.0, 12.23388252258303, 0.11560376485188802, 14779416, 286.0380001068115)","(6.720210522061621e-05, 12.629571533203148, 0.09748013814290364, 14615472, 287.3252544403076)","(0.0, 11.681146240234398, 0.07914543151855469, 12549328, 287.16295496622723)","(3.355695977310802e-05, 13.397789255778036, 0.0619500478108724, 10383084, 288.7460683186849)","(0.0012461836062322106, 15.12481587727865, 0.048980712890625, 13670988, 288.22576395670575)","(0.14769748515998257, 11.580960210164392, 0.0783093770345052, 12166404, 283.7912190755208)","(0.01269790816828443, 12.029622650146507, 0.08081817626953125, 13479848, 283.91669273376465)","(5.045277550540846e-05, 7.077422714233421, 0.07022158304850261, 14304116, 280.1703681945801)","(1.689581349436935e-05, 8.064365641276083, 0.060047149658203125, 13980984, 282.7672646840413)","(0.0001012575484773663, 9.019401804606161, 0.05100886027018229, 12379396, 284.15085792541504)","(0.03163271832242332, 9.841879781087243, 0.05109087626139323, 12763484, 282.47020022074383)","(0.0, 10.073653157552087, 0.04806645711263021, 13878612, 283.4338372548421)","(0.0, 10.213456726074241, 0.041568756103515625, 13562072, 284.4101797739665)",0,"[0.17270000000000002, 0.13190000000000002]"
"(0.0001012575484773663, 9.019401804606161, 0.05100886027018229, 12379396, 284.15085792541504)","(0.03163271832242332, 9.841879781087243, 0.05109087626139323, 12763484, 282.47020022074383)","(0.0, 10.073653157552087, 0.04806645711263021, 13878612, 283.4338372548421)","(0.0, 10.213456726074241, 0.041568756103515625, 13562072, 284.4101797739665)","(3.35569620110391e-05, 10.952146148681663, 0.03588231404622396, 13200128, 286.7057024637858)","(5.058404806698604e-05, 11.91010754903158, 0.03253618876139323, 10237368, 286.8230978647868)","(6.753041866249418e-05, 12.771799341837607, 0.031014124552408855, 13211568, 285.6340611775716)","(5.068743824517696e-05, 12.358923848470056, 0.028891881306966145, 13079912, 284.880225499471)","(0.0, 13.53638610839846, 0.02718798319498698, 13324352, 286.2799752553304)","(1.7130473996206773e-05, 14.2570790608724, 0.02594757080078125, 12661760, 288.53534444173175)","(3.334741109597417e-05, 14.57923278808596, 0.025243123372395832, 12577608, 289.01269213358563)","(0.0, 15.04398117065432, 0.024848302205403645, 12493720, 289.3514970143636)","(5.045277326747737e-05, 15.367209370930993, 0.024566650390625, 12855040, 289.0034008026123)","(3.3791627688092165e-05, 15.489509836832724, 0.024233500162760418, 13137096, 289.56029828389484)","(0.12163624985813212, 15.283567047119163, 0.03778839111328125, 8503408, 291.60539627075195)","(0.37800981065928935, 12.877168273925804, 0.1236737569173177, 12770840, 285.43234062194824)","(3.355695977310802e-05, 5.202188746134482, 0.1685028076171875, 12854276, 278.8236376444499)","(0.0, 8.613360341389978, 0.15105819702148438, 12467768, 283.12275250752765)","(0.0, 9.21112976074221, 0.12947463989257812, 10363864, 284.3040262858073)","(0.024874744740869717, 12.480104700724326, 0.11689821879069011, 5331828, 287.3728313446045)","(0.5811169713564167, 14.651540374755882, 0.18270111083984375, 6361188, 288.7889232635498)","(0.02746226824596028, 11.708290354410849, 0.29328155517578125, 11330916, 285.0322774251302)","(0.06535758427306514, 9.322636540730798, 0.2590281168619792, 11601180, 283.85547637939453)","(0.3543704549759604, 4.905200576782249, 0.3074868520100911, 11858812, 278.7369747161865)","(0.0, 3.733160273234091, 0.2820415496826172, 13245920, 278.7458388010661)",0,"[0.13190000000000002, 0.1544]"
"(5.068743824517696e-05, 12.358923848470056, 0.028891881306966145, 13079912, 284.880225499471)","(0.0, 13.53638610839846, 0.02718798319498698, 13324352, 286.2799752553304)","(1.7130473996206773e-05, 14.2570790608724, 0.02594757080078125, 12661760, 288.53534444173175)","(3.334741109597417e-05, 14.57923278808596, 0.025243123372395832, 12577608, 289.01269213358563)","(0.0, 15.04398117065432, 0.024848302205403645, 12493720, 289.3514970143636)","(5.045277326747737e-05, 15.367209370930993, 0.024566650390625, 12855040, 289.0034008026123)","(3.3791627688092165e-05, 15.489509836832724, 0.024233500162760418, 13137096, 289.56029828389484)","(0.12163624985813212, 15.283567047119163, 0.03778839111328125, 8503408, 291.60539627075195)","(0.37800981065928935, 12.877168273925804, 0.1236737569173177, 12770840, 285.43234062194824)","(3.355695977310802e-05, 5.202188746134482, 0.1685028076171875, 12854276, 278.8236376444499)","(0.0, 8.613360341389978, 0.15105819702148438, 12467768, 283.12275250752765)","(0.0, 9.21112976074221, 0.12947463989257812, 10363864, 284.3040262858073)","(0.024874744740869717, 12.480104700724326, 0.11689821879069011, 5331828, 287.3728313446045)","(0.5811169713564167, 14.651540374755882, 0.18270111083984375, 6361188, 288.7889232635498)","(0.02746226824596028, 11.708290354410849, 0.29328155517578125, 11330916, 285.0322774251302)","(0.06535758427306514, 9.322636540730798, 0.2590281168619792, 11601180, 283.85547637939453)","(0.3543704549759604, 4.905200576782249, 0.3074868520100911, 11858812, 278.7369747161865)","(0.0, 3.733160273234091, 0.2820415496826172, 13245920, 278.7458388010661)","(5.068743824517696e-05, 6.305244700113974, 0.26420148213704425, 13058704, 281.9331595102946)","(3.355695977310802e-05, 9.187950388590536, 0.2524191538492839, 9382276, 284.7272472381592)","(0.0, 11.32192446390792, 0.24444897969563803, 9549016, 286.6825866699219)","(0.0001031348615851698, 11.40849075317385, 0.22469393412272134, 11364100, 285.1633555094401)","(0.42389907598569493, 13.14323514302572, 0.27958106994628906, 7974604, 286.4623203277588)","(0.42376544001223654, 8.896360015869163, 0.3371715545654297, 4066692, 282.8741575876872)","(0.002888571793926815, 7.442190424601279, 0.33546002705891925, 12080532, 280.4766489664714)",0,"[0.1544, 0.1311]"
"(0.12163624985813212, 15.283567047119163, 0.03778839111328125, 8503408, 291.60539627075195)","(0.37800981065928935, 12.877168273925804, 0.1236737569173177, 12770840, 285.43234062194824)","(3.355695977310802e-05, 5.202188746134482, 0.1685028076171875, 12854276, 278.8236376444499)","(0.0, 8.613360341389978, 0.15105819702148438, 12467768, 283.12275250752765)","(0.0, 9.21112976074221, 0.12947463989257812, 10363864, 284.3040262858073)","(0.024874744740869717, 12.480104700724326, 0.11689821879069011, 5331828, 287.3728313446045)","(0.5811169713564167, 14.651540374755882, 0.18270111083984375, 6361188, 288.7889232635498)","(0.02746226824596028, 11.708290354410849, 0.29328155517578125, 11330916, 285.0322774251302)","(0.06535758427306514, 9.322636540730798, 0.2590281168619792, 11601180, 283.85547637939453)","(0.3543704549759604, 4.905200576782249, 0.3074868520100911, 11858812, 278.7369747161865)","(0.0, 3.733160273234091, 0.2820415496826172, 13245920, 278.7458388010661)","(5.068743824517696e-05, 6.305244700113974, 0.26420148213704425, 13058704, 281.9331595102946)","(3.355695977310802e-05, 9.187950388590536, 0.2524191538492839, 9382276, 284.7272472381592)","(0.0, 11.32192446390792, 0.24444897969563803, 9549016, 286.6825866699219)","(0.0001031348615851698, 11.40849075317385, 0.22469393412272134, 11364100, 285.1633555094401)","(0.42389907598569493, 13.14323514302572, 0.27958106994628906, 7974604, 286.4623203277588)","(0.42376544001223654, 8.896360015869163, 0.3371715545654297, 4066692, 282.8741575876872)","(0.002888571793926815, 7.442190424601279, 0.33546002705891925, 12080532, 280.4766489664714)","(5.057010799425825e-05, 8.184117253621423, 0.2951952616373698, 12027044, 282.0005620320638)","(1.7130473996206773e-05, 11.746504720052087, 0.2721977233886719, 13435884, 285.9845720926921)","(6.785198921801338e-05, 9.892765935262048, 0.2525920867919922, 13338176, 286.2184460957845)","(0.027869527763871686, 10.686097081502282, 0.23944091796875, 12656544, 285.1569347381592)","(1.7130473996206773e-05, 7.889617538452171, 0.22789128621419272, 13503808, 281.9494380950928)","(0.010104166061426207, 10.929898198445642, 0.21299616495768228, 13300640, 285.26666768391925)","(6.771392677352424e-05, 12.84072329203292, 0.20032946268717447, 10122616, 288.7101682027181)",0,"[0.1544, 0.1311]"
"(0.02746226824596028, 11.708290354410849, 0.29328155517578125, 11330916, 285.0322774251302)","(0.06535758427306514, 9.322636540730798, 0.2590281168619792, 11601180, 283.85547637939453)","(0.3543704549759604, 4.905200576782249, 0.3074868520100911, 11858812, 278.7369747161865)","(0.0, 3.733160273234091, 0.2820415496826172, 13245920, 278.7458388010661)","(5.068743824517696e-05, 6.305244700113974, 0.26420148213704425, 13058704, 281.9331595102946)","(3.355695977310802e-05, 9.187950388590536, 0.2524191538492839, 9382276, 284.7272472381592)","(0.0, 11.32192446390792, 0.24444897969563803, 9549016, 286.6825866699219)","(0.0001031348615851698, 11.40849075317385, 0.22469393412272134, 11364100, 285.1633555094401)","(0.42389907598569493, 13.14323514302572, 0.27958106994628906, 7974604, 286.4623203277588)","(0.42376544001223654, 8.896360015869163, 0.3371715545654297, 4066692, 282.8741575876872)","(0.002888571793926815, 7.442190424601279, 0.33546002705891925, 12080532, 280.4766489664714)","(5.057010799425825e-05, 8.184117253621423, 0.2951952616373698, 12027044, 282.0005620320638)","(1.7130473996206773e-05, 11.746504720052087, 0.2721977233886719, 13435884, 285.9845720926921)","(6.785198921801338e-05, 9.892765935262048, 0.2525920867919922, 13338176, 286.2184460957845)","(0.027869527763871686, 10.686097081502282, 0.23944091796875, 12656544, 285.1569347381592)","(1.7130473996206773e-05, 7.889617538452171, 0.22789128621419272, 13503808, 281.9494380950928)","(0.010104166061426207, 10.929898198445642, 0.21299616495768228, 13300640, 285.26666768391925)","(6.771392677352424e-05, 12.84072329203292, 0.20032946268717447, 10122616, 288.7101682027181)","(0.00270626353174448, 12.37382278442385, 0.18939654032389322, 13350004, 288.59130541483563)","(0.00010125755071529739, 10.89976590474447, 0.17591985066731772, 14004916, 287.81373087565106)","(0.0, 10.213831837972009, 0.16214815775553384, 14259964, 285.7326240539551)","(5.072075880109992e-05, 9.301205571492517, 0.14946111043294272, 8205776, 286.9138011932373)","(0.067746385027745, 12.557302093505882, 0.14852205912272134, 10458044, 287.6569595336914)","(0.20196141331418851, 9.85211079915365, 0.18723042805989584, 4609100, 283.3020731608073)","(0.06502729457690816, 11.216920471191429, 0.23689651489257812, 9445696, 283.41582679748535)",0,[0.1311]
"(0.0, 11.32192446390792, 0.24444897969563803, 9549016, 286.6825866699219)","(0.0001031348615851698, 11.40849075317385, 0.22469393412272134, 11364100, 285.1633555094401)","(0.42389907598569493, 13.14323514302572, 0.27958106994628906, 7974604, 286.4623203277588)","(0.42376544001223654, 8.896360015869163, 0.3371715545654297, 4066692, 282.8741575876872)","(0.002888571793926815, 7.442190424601279, 0.33546002705891925, 12080532, 280.4766489664714)","(5.057010799425825e-05, 8.184117253621423, 0.2951952616373698, 12027044, 282.0005620320638)","(1.7130473996206773e-05, 11.746504720052087, 0.2721977233886719, 13435884, 285.9845720926921)","(6.785198921801338e-05, 9.892765935262048, 0.2525920867919922, 13338176, 286.2184460957845)","(0.027869527763871686, 10.686097081502282, 0.23944091796875, 12656544, 285.1569347381592)","(1.7130473996206773e-05, 7.889617538452171, 0.22789128621419272, 13503808, 281.9494380950928)","(0.010104166061426207, 10.929898198445642, 0.21299616495768228, 13300640, 285.26666768391925)","(6.771392677352424e-05, 12.84072329203292, 0.20032946268717447, 10122616, 288.7101682027181)","(0.00270626353174448, 12.37382278442385, 0.18939654032389322, 13350004, 288.59130541483563)","(0.00010125755071529739, 10.89976590474447, 0.17591985066731772, 14004916, 287.81373087565106)","(0.0, 10.213831837972009, 0.16214815775553384, 14259964, 285.7326240539551)","(5.072075880109992e-05, 9.301205571492517, 0.14946111043294272, 8205776, 286.9138011932373)","(0.067746385027745, 12.557302093505882, 0.14852205912272134, 10458044, 287.6569595336914)","(0.20196141331418851, 9.85211079915365, 0.18723042805989584, 4609100, 283.3020731608073)","(0.06502729457690816, 11.216920471191429, 0.23689651489257812, 9445696, 283.41582679748535)","(0.011156047811354205, 9.57851117451986, 0.23511505126953125, 13122168, 282.53198560078937)","(0.001578819945452392, 9.471543884277366, 0.21990013122558594, 12794124, 283.8891709645589)","(0.0014474080569992509, 7.821205393473349, 0.20679855346679688, 6798096, 283.6640288035075)","(0.19037018095775943, 8.031748708089196, 0.21101824442545572, 5699760, 282.4457524617513)","(0.8583167348146439, 9.53388684590658, 0.3610699971516927, 11805580, 282.6859893798828)","(5.045277326747737e-05, 6.992251968383812, 0.33656946818033856, 14041148, 281.19055620829266)",0,"[0.1311, 0.19890000000000002]"
"(0.027869527763871686, 10.686097081502282, 0.23944091796875, 12656544, 285.1569347381592)","(1.7130473996206773e-05, 7.889617538452171, 0.22789128621419272, 13503808, 281.9494380950928)","(0.010104166061426207, 10.929898198445642, 0.21299616495768228, 13300640, 285.26666768391925)","(6.771392677352424e-05, 12.84072329203292, 0.20032946268717447, 10122616, 288.7101682027181)","(0.00270626353174448, 12.37382278442385, 0.18939654032389322, 13350004, 288.59130541483563)","(0.00010125755071529739, 10.89976590474447, 0.17591985066731772, 14004916, 287.81373087565106)","(0.0, 10.213831837972009, 0.16214815775553384, 14259964, 285.7326240539551)","(5.072075880109992e-05, 9.301205571492517, 0.14946111043294272, 8205776, 286.9138011932373)","(0.067746385027745, 12.557302093505882, 0.14852205912272134, 10458044, 287.6569595336914)","(0.20196141331418851, 9.85211079915365, 0.18723042805989584, 4609100, 283.3020731608073)","(0.06502729457690816, 11.216920471191429, 0.23689651489257812, 9445696, 283.41582679748535)","(0.011156047811354205, 9.57851117451986, 0.23511505126953125, 13122168, 282.53198560078937)","(0.001578819945452392, 9.471543884277366, 0.21990013122558594, 12794124, 283.8891709645589)","(0.0014474080569992509, 7.821205393473349, 0.20679855346679688, 6798096, 283.6640288035075)","(0.19037018095775943, 8.031748708089196, 0.21101824442545572, 5699760, 282.4457524617513)","(0.8583167348146439, 9.53388684590658, 0.3610699971516927, 11805580, 282.6859893798828)","(5.045277326747737e-05, 6.992251968383812, 0.33656946818033856, 14041148, 281.19055620829266)","(0.01934513425683312, 8.275624847412132, 0.3060455322265625, 11990372, 283.7146352132161)","(0.3179095231510649, 9.301474507649743, 0.34644126892089844, 14958392, 281.64074261983234)","(0.0005508739337325096, 5.69128252665206, 0.3257306416829427, 15987248, 279.81398328145343)","(1.7130473996206773e-05, 4.704492187500023, 0.30152638753255206, 16164892, 277.70800399780273)","(0.00022821082025766372, 4.899403508504236, 0.28366343180338544, 15544056, 278.6773598988851)","(0.0, 4.217713292439782, 0.2673473358154297, 16733604, 278.3075428009033)","(3.3908959477588493e-05, 5.453274663289392, 0.2511526743570964, 16631908, 280.3669738769531)","(5.079117977854821e-05, 7.55999590555831, 0.23236211140950522, 16850956, 282.5173346201579)",0,[0.19890000000000002]
"(0.0, 10.213831837972009, 0.16214815775553384, 14259964, 285.7326240539551)","(5.072075880109992e-05, 9.301205571492517, 0.14946111043294272, 8205776, 286.9138011932373)","(0.067746385027745, 12.557302093505882, 0.14852205912272134, 10458044, 287.6569595336914)","(0.20196141331418851, 9.85211079915365, 0.18723042805989584, 4609100, 283.3020731608073)","(0.06502729457690816, 11.216920471191429, 0.23689651489257812, 9445696, 283.41582679748535)","(0.011156047811354205, 9.57851117451986, 0.23511505126953125, 13122168, 282.53198560078937)","(0.001578819945452392, 9.471543884277366, 0.21990013122558594, 12794124, 283.8891709645589)","(0.0014474080569992509, 7.821205393473349, 0.20679855346679688, 6798096, 283.6640288035075)","(0.19037018095775943, 8.031748708089196, 0.21101824442545572, 5699760, 282.4457524617513)","(0.8583167348146439, 9.53388684590658, 0.3610699971516927, 11805580, 282.6859893798828)","(5.045277326747737e-05, 6.992251968383812, 0.33656946818033856, 14041148, 281.19055620829266)","(0.01934513425683312, 8.275624847412132, 0.3060455322265625, 11990372, 283.7146352132161)","(0.3179095231510649, 9.301474507649743, 0.34644126892089844, 14958392, 281.64074261983234)","(0.0005508739337325096, 5.69128252665206, 0.3257306416829427, 15987248, 279.81398328145343)","(1.7130473996206773e-05, 4.704492187500023, 0.30152638753255206, 16164892, 277.70800399780273)","(0.00022821082025766372, 4.899403508504236, 0.28366343180338544, 15544056, 278.6773598988851)","(0.0, 4.217713292439782, 0.2673473358154297, 16733604, 278.3075428009033)","(3.3908959477588493e-05, 5.453274663289392, 0.2511526743570964, 16631908, 280.3669738769531)","(5.079117977854821e-05, 7.55999590555831, 0.23236211140950522, 16850956, 282.5173346201579)","(5.0922105460807647e-05, 9.193520482381189, 0.2182769775390625, 16998168, 285.21644910176593)","(5.0252684325039356e-05, 9.114883041381859, 0.20422490437825522, 17189104, 286.3704999287923)","(3.3791627688092165e-05, 10.262392934163415, 0.19162368774414062, 16500388, 287.06158955891925)","(5.073350381862838e-05, 11.12032534281417, 0.1788158416748047, 16031668, 286.464070002238)","(0.00011907637426838847, 11.265756861368857, 0.16706339518229166, 17367936, 287.68159612019855)","(0.0, 11.78816947937014, 0.15320269266764322, 17327164, 287.8364365895589)",0,"[0.19890000000000002, 0.1384]"
"(0.0014474080569992509, 7.821205393473349, 0.20679855346679688, 6798096, 283.6640288035075)","(0.19037018095775943, 8.031748708089196, 0.21101824442545572, 5699760, 282.4457524617513)","(0.8583167348146439, 9.53388684590658, 0.3610699971516927, 11805580, 282.6859893798828)","(5.045277326747737e-05, 6.992251968383812, 0.33656946818033856, 14041148, 281.19055620829266)","(0.01934513425683312, 8.275624847412132, 0.3060455322265625, 11990372, 283.7146352132161)","(0.3179095231510649, 9.301474507649743, 0.34644126892089844, 14958392, 281.64074261983234)","(0.0005508739337325096, 5.69128252665206, 0.3257306416829427, 15987248, 279.81398328145343)","(1.7130473996206773e-05, 4.704492187500023, 0.30152638753255206, 16164892, 277.70800399780273)","(0.00022821082025766372, 4.899403508504236, 0.28366343180338544, 15544056, 278.6773598988851)","(0.0, 4.217713292439782, 0.2673473358154297, 16733604, 278.3075428009033)","(3.3908959477588493e-05, 5.453274663289392, 0.2511526743570964, 16631908, 280.3669738769531)","(5.079117977854821e-05, 7.55999590555831, 0.23236211140950522, 16850956, 282.5173346201579)","(5.0922105460807647e-05, 9.193520482381189, 0.2182769775390625, 16998168, 285.21644910176593)","(5.0252684325039356e-05, 9.114883041381859, 0.20422490437825522, 17189104, 286.3704999287923)","(3.3791627688092165e-05, 10.262392934163415, 0.19162368774414062, 16500388, 287.06158955891925)","(5.073350381862838e-05, 11.12032534281417, 0.1788158416748047, 16031668, 286.464070002238)","(0.00011907637426838847, 11.265756861368857, 0.16706339518229166, 17367936, 287.68159612019855)","(0.0, 11.78816947937014, 0.15320269266764322, 17327164, 287.8364365895589)","(0.0007481090910683122, 12.920436477661156, 0.137786865234375, 15597872, 289.84062639872235)","(8.424440249414716e-05, 12.480275090535486, 0.12506930033365884, 15968860, 288.1897678375244)","(1.7130473996206773e-05, 14.020415242513025, 0.11564954121907552, 17115892, 288.293753306071)","(3.355695977310802e-05, 15.03422889709475, 0.10515403747558594, 17559428, 289.19800504048663)","(0.0, 16.85443013509115, 0.09219042460123698, 17821620, 292.4365482330322)","(5.095714922366597e-05, 16.757180786132835, 0.07885932922363281, 17117672, 293.85040219624835)","(0.0594668118134141, 16.449123636881552, 0.0684661865234375, 12768468, 290.175391515096)",0,[0.1384]
